Índice Mensual de Actividad Económica,,,,,,,,,,,,,,,
Serie original,,,,,,,,,,,,,,,
2012=100,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Nivel,Variación media (%),Variación interanual (%),,,,,,,,,,,,
Enero/2010,93.2,3.3,3.3,,,,,,,,,,,,
Febrero/2010,91.1,3.9,4.4,,,,,,,,,,,,
Marzo/2010,97.7,4.5,5.8,,,,,,,,,,,,
Abril/2010,89.3,4.5,4.4,,,,,,,,,,,,
Mayo/2010,91.7,4.5,4.5,,,,,,,,,,,,
Junio/2010,91.4,4.5,4.4,,,,,,,,,,,,
Julio/2010,92.5,4.4,3.8,,,,,,,,,,,,
Agosto/2010,91.0,4.3,4.1,,,,,,,,,,,,
Septiembre/2010,91.9,4.3,3.9,,,,,,,,,,,,
Octubre/2010,94.0,4.2,3.1,,,,,,,,,,,,
Noviembre/2010,97.0,4.2,4.3,,,,,,,,,,,,
Diciembre/2010,96.8,4.0,2.5,,,,,,,,,,,,
Enero/2011,96.3,3.3,3.3,,,,,,,,,,,,
Febrero/2011,94.7,3.7,4.0,,,,,,,,,,,,
Marzo/2011,99.6,3.1,2.0,,,,,,,,,,,,
Abril/2011,92.2,3.1,3.2,,,,,,,,,,,,
Mayo/2011,95.4,3.3,4.0,,,,,,,,,,,,
Junio/2011,94.6,3.3,3.5,,,,,,,,,,,,
Julio/2011,94.2,3.1,1.8,,,,,,,,,,,,
Agosto/2011,93.4,3.1,2.6,,,,,,,,,,,,
Septiembre/2011,94.5,3.0,2.8,,,,,,,,,,,,
Octubre/2011,97.8,3.1,4.0,,,,,,,,,,,,
Noviembre/2011,100.4,3.2,3.5,,,,,,,,,,,,
Diciembre/2011,99.9,3.2,3.2,,,,,,,,,,,,
Enero/2012,100.6,4.4,4.4,,,,,,,,,,,,
Febrero/2012,101.2,5.6,6.8,,,,,,,,,,,,
Marzo/2012,103.8,5.1,4.2,,,,,,,,,,,,
Abril/2012,95.2,4.7,3.3,,,,,,,,,,,,
Mayo/2012,99.2,4.6,4.0,,,,,,,,,,,,
Junio/2012,97.2,4.3,2.8,,,,,,,,,,,,
Julio/2012,97.9,4.2,3.9,,,,,,,,,,,,
Agosto/2012,97.6,4.3,4.6,,,,,,,,,,,,
Septiembre/2012,97.6,4.2,3.3,,,,,,,,,,,,
Octubre/2012,100.5,4.0,2.7,,,,,,,,,,,,
Noviembre/2012,104.9,4.0,4.5,,,,,,,,,,,,
Diciembre/2012,104.2,4.1,4.3,,,,,,,,,,,,
Enero/2013,101.6,1.1,1.1,,,,,,,,,,,,
Febrero/2013,99.8,-0.1,-1.3,,,,,,,,,,,,
Marzo/2013,103.8,-0.1,0.0,,,,,,,,,,,,
Abril/2013,97.8,0.6,2.7,,,,,,,,,,,,
Mayo/2013,100.7,0.8,1.5,,,,,,,,,,,,
Junio/2013,99.7,1.0,2.5,,,,,,,,,,,,
Julio/2013,100.5,1.3,2.7,,,,,,,,,,,,
Agosto/2013,99.5,1.4,1.9,,,,,,,,,,,,
Septiembre/2013,99.5,1.4,1.9,,,,,,,,,,,,
Octubre/2013,102.4,1.5,1.9,,,,,,,,,,,,
Noviembre/2013,105.2,1.4,0.3,,,,,,,,,,,,
Diciembre/2013,104.9,1.3,0.7,,,,,,,,,,,,
Enero/2014,104.4,2.7,2.7,,,,,,,,,,,,
Febrero/2014,104.7,3.8,4.9,,,,,,,,,,,,
Marzo/2014,108.0,3.9,4.1,,,,,,,,,,,,
Abril/2014,99.3,3.3,1.5,,,,,,,,,,,,
Mayo/2014,103.2,3.2,2.5,,,,,,,,,,,,
Junio/2014,102.2,3.0,2.5,,,,,,,,,,,,
Julio/2014,103.3,3.0,2.7,,,,,,,,,,,,
Agosto/2014,102.4,3.0,2.9,,,,,,,,,,,,
Septiembre/2014,102.7,3.0,3.2,,,,,,,,,,,,
Octubre/2014,107.3,3.2,4.8,,,,,,,,,,,,
Noviembre/2014,109.2,3.3,3.8,,,,,,,,,,,,
Diciembre/2014,110.3,3.4,5.2,,,,,,,,,,,,
Enero/2015,107.1,2.6,2.6,,,,,,,,,,,,
Febrero/2015,107.9,2.8,3.0,,,,,,,,,,,,
Marzo/2015,111.6,3.0,3.3,,,,,,,,,,,,
Abril/2015,104.3,3.5,5.0,,,,,,,,,,,,
Mayo/2015,108.6,3.8,5.3,,,,,,,,,,,,
Junio/2015,108.5,4.2,6.2,,,,,,,,,,,,
Julio/2015,109.7,4.5,6.2,,,,,,,,,,,,
Agosto/2015,109.2,4.8,6.7,,,,,,,,,,,,
Septiembre/2015,107.8,4.8,4.9,,,,,,,,,,,,
Octubre/2015,111.0,4.6,3.5,,,,,,,,,,,,
Noviembre/2015,114.3,4.6,4.6,,,,,,,,,,,,
Diciembre/2015,112.8,4.4,2.3,,,,,,,,,,,,
Enero/2016,113.5,6.0,6.0,,,,,,,,,,,,
Febrero/2016,114.4,6.0,6.0,,,,,,,,,,,,
Marzo/2016,115.3,5.0,3.3,,,,,,,,,,,,
Abril/2016,110.0,5.2,5.5,,,,,,,,,,,,
Mayo/2016,113.1,4.9,4.1,,,,,,,,,,,,
Junio/2016,111.9,4.6,3.1,,,,,,,,,,,,
Julio/2016,112.5,4.3,2.5,,,,,,,,,,,,
Agosto/2016,111.6,4.1,2.2,,,,,,,,,,,,
Septiembre/2016,112.6,4.1,4.5,,,,,,,,,,,,
Octubre/2016,115.8,4.1,4.3,,,,,,,,,,,,
Noviembre/2016,121.0,4.3,5.8,,,,,,,,,,,,
Diciembre/2016,118.6,4.4,5.1,,,,,,,,,,,,
Enero/2017,117.2,3.2,3.2,,,,,,,,,,,,
Febrero/2017,117.0,2.8,2.3,,,,,,,,,,,,
Marzo/2017,121.5,3.6,5.4,,,,,,,,,,,,
Abril/2017,113.0,3.4,2.7,,,,,,,,,,,,
Mayo/2017,117.9,3.6,4.3,,,,,,,,,,,,
Junio/2017,118.7,4.0,6.0,,,,,,,,,,,,
Julio/2017,116.0,3.9,3.1,,,,,,,,,,,,
Agosto/2017,114.7,3.7,2.7,,,,,,,,,,,,
Septiembre/2017,114.8,3.5,1.9,,,,,,,,,,,,
Octubre/2017,119.7,3.5,3.4,,,,,,,,,,,,
Noviembre/2017,123.9,3.4,2.5,,,,,,,,,,,,
Diciembre/2017,122.6,3.4,3.4,,,,,,,,,,,,
Enero/2018,121.1,3.3,3.3,,,,,,,,,,,,
Febrero/2018,119.5,2.7,2.1,,,,,,,,,,,,
Marzo/2018,124.9,2.7,2.8,,,,,,,,,,,,
Abril/2018,117.6,3.1,4.1,,,,,,,,,,,,
Mayo/2018,123.1,3.3,4.4,,,,,,,,,,,,
Junio/2018,122.0,3.2,2.8,,,,,,,,,,,,
Julio/2018,120.3,3.3,3.7,,,,,,,,,,,,
Agosto/2018,118.8,3.3,3.6,,,,,,,,,,,,
Septiembre/2018,116.2,3.1,1.2,,,,,,,,,,,,
Octubre/2018,122.2,3.0,2.1,,,,,,,,,,,,
Noviembre/2018,125.5,2.8,1.2,,,,,,,,,,,,
Diciembre/2018,123.8,2.7,1.0,,,,,,,,,,,,
Enero/2019,123.0,1.6,1.6,,,,,,,,,,,,
Febrero/2019,122.1,1.9,2.2,,,,,,,,,,,,
Marzo/2019,127.0,1.8,1.7,,,,,,,,,,,,
Abril/2019,117.9,1.5,0.3,,,,,,,,,,,,
Mayo/2019,123.0,1.1,-0.1,,,,,,,,,,,,
Junio/2019,122.6,1.0,0.5,,,,,,,,,,,,
Julio/2019,122.1,1.1,1.6,,,,,,,,,,,,
Agosto/2019,120.3,1.1,1.2,,,,,,,,,,,,
Septiembre/2019,120.4,1.4,3.6,,,,,,,,,,,,
Octubre/2019,126.3,1.6,3.3,,,,,,,,,,,,
Noviembre/2019,128.9,1.7,2.7,,,,,,,,,,,,
Diciembre/2019,127.8,1.8,3.2,,,,,,,,,,,,
Enero/2020,125.0,1.6,1.6,,,,,,,,,,,,
Febrero/2020,126.3,2.5,3.4,,,,,,,,,,,,
Marzo/2020,125.2,1.2,-1.4,,,,,,,,,,,,
Abril/2020,107.7,-1.2,-8.6,,,,,,,,,,,,
Mayo/2020,110.5,-3.0,-10.2,,,,,,,,,,,,
