Índice de precios al consumidor (IPC),,,,,,,,,,,,,,
Junio 2015=100,,,,,,,,,,,,,,
Niveles y variaciones,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Nivel,Variación mensual (%),Variación interanual (%),Variación acumulada (%) /n2,,,,,,,,,,
Enero/2010,80.40,1.63,5.34,1.63,,,,,,,,,,
Febrero/2010,80.95,0.69,5.60,2.32,,,,,,,,,,
Marzo/2010,81.15,0.24,5.84,2.57,,,,,,,,,,
Abril/2010,81.20,0.06,5.56,2.63,,,,,,,,,,
Mayo/2010,81.62,0.52,6.23,3.16,,,,,,,,,,
Junio/2010,81.82,0.24,6.31,3.41,,,,,,,,,,
Julio/2010,82.08,0.32,5.68,3.75,,,,,,,,,,
Agosto/2010,82.24,0.20,5.21,3.95,,,,,,,,,,
Septiembre/2010,82.17,-0.08,5.00,3.87,,,,,,,,,,
Octubre/2010,82.56,0.47,5.25,4.36,,,,,,,,,,
Noviembre/2010,83.10,0.66,6.11,5.04,,,,,,,,,,
Diciembre/2010,83.72,0.74,5.82,5.82,,,,,,,,,,
Enero/2011,84.29,0.68,4.84,0.68,,,,,,,,,,
Febrero/2011,84.66,0.44,4.57,1.12,,,,,,,,,,
Marzo/2011,84.87,0.25,4.58,1.37,,,,,,,,,,
Abril/2011,85.00,0.15,4.68,1.53,,,,,,,,,,
Mayo/2011,85.57,0.67,4.85,2.21,,,,,,,,,,
Junio/2011,86.05,0.56,5.18,2.78,,,,,,,,,,
Julio/2011,86.34,0.34,5.19,3.13,,,,,,,,,,
Agosto/2011,86.56,0.26,5.25,3.39,,,,,,,,,,
Septiembre/2011,86.43,-0.16,5.17,3.23,,,,,,,,,,
Octubre/2011,86.63,0.24,4.93,3.47,,,,,,,,,,
Noviembre/2011,86.89,0.30,4.56,3.79,,,,,,,,,,
Diciembre/2011,87.69,0.92,4.74,4.74,,,,,,,,,,
Enero/2012,87.84,0.17,4.21,0.17,,,,,,,,,,
Febrero/2012,88.09,0.28,4.05,0.46,,,,,,,,,,
Marzo/2012,88.44,0.40,4.21,0.86,,,,,,,,,,
Abril/2012,89.00,0.63,4.71,1.50,,,,,,,,,,
Mayo/2012,89.88,0.99,5.04,2.50,,,,,,,,,,
Junio/2012,90.02,0.16,4.61,2.66,,,,,,,,,,
Julio/2012,89.75,-0.30,3.95,2.35,,,,,,,,,,
Agosto/2012,90.22,0.53,4.23,2.89,,,,,,,,,,
Septiembre/2012,90.29,0.07,4.47,2.96,,,,,,,,,,
Octubre/2012,90.69,0.45,4.68,3.42,,,,,,,,,,
Noviembre/2012,91.42,0.81,5.22,4.26,,,,,,,,,,
Diciembre/2012,91.68,0.28,4.55,4.55,,,,,,,,,,
Enero/2013,92.88,1.31,5.74,1.31,,,,,,,,,,
Febrero/2013,93.83,1.02,6.52,2.34,,,,,,,,,,
Marzo/2013,93.93,0.11,6.21,2.46,,,,,,,,,,
Abril/2013,94.61,0.73,6.31,3.20,,,,,,,,,,
Mayo/2013,94.63,0.02,5.28,3.22,,,,,,,,,,
Junio/2013,94.65,0.02,5.14,3.24,,,,,,,,,,
Julio/2013,94.97,0.34,5.81,3.59,,,,,,,,,,
Agosto/2013,95.01,0.05,5.31,3.64,,,,,,,,,,
Septiembre/2013,95.14,0.13,5.37,3.77,,,,,,,,,,
Octubre/2013,94.41,-0.76,4.11,2.98,,,,,,,,,,
Noviembre/2013,94.57,0.17,3.44,3.16,,,,,,,,,,
Diciembre/2013,95.05,0.51,3.68,3.68,,,,,,,,,,
Enero/2014,95.76,0.75,3.10,0.75,,,,,,,,,,
Febrero/2014,96.40,0.66,2.74,1.42,,,,,,,,,,
Marzo/2014,96.99,0.62,3.26,2.04,,,,,,,,,,
Abril/2014,98.10,1.14,3.68,3.20,,,,,,,,,,
Mayo/2014,98.61,0.53,4.21,3.75,,,,,,,,,,
Junio/2014,98.99,0.38,4.59,4.14,,,,,,,,,,
Julio/2014,99.89,0.91,5.19,5.09,,,,,,,,,,
Agosto/2014,100.22,0.33,5.49,5.44,,,,,,,,,,
Septiembre/2014,100.09,-0.14,5.20,5.30,,,,,,,,,,
Octubre/2014,99.80,-0.29,5.70,4.99,,,,,,,,,,
Noviembre/2014,100.14,0.34,5.89,5.35,,,,,,,,,,
Diciembre/2014,99.92,-0.21,5.13,5.13,,,,,,,,,,
Enero/2015,99.96,0.04,4.39,0.04,,,,,,,,,,
Febrero/2015,99.80,-0.16,3.53,-0.13,,,,,,,,,,
Marzo/2015,99.94,0.15,3.05,0.02,,,,,,,,,,
Abril/2015,99.87,-0.08,1.81,-0.06,,,,,,,,,,
Mayo/2015,99.57,-0.29,0.97,-0.35,,,,,,,,,,
Junio/2015,100.00,0.43,1.02,0.08,,,,,,,,,,
Julio/2015,99.57,-0.43,-0.32,-0.35,,,,,,,,,,
Agosto/2015,99.48,-0.09,-0.74,-0.44,,,,,,,,,,
Septiembre/2015,99.22,-0.26,-0.86,-0.70,,,,,,,,,,
Octubre/2015,98.94,-0.28,-0.86,-0.98,,,,,,,,,,
Noviembre/2015,98.93,-0.01,-1.20,-0.99,,,,,,,,,,
Diciembre/2015,99.12,0.19,-0.81,-0.81,,,,,,,,,,
Enero/2016,99.79,0.68,-0.17,0.68,,,,,,,,,,
Febrero/2016,99.76,-0.02,-0.03,0.65,,,,,,,,,,
Marzo/2016,98.86,-0.91,-1.09,-0.26,,,,,,,,,,
Abril/2016,98.95,0.09,-0.92,-0.17,,,,,,,,,,
Mayo/2016,99.14,0.19,-0.43,0.03,,,,,,,,,,
Junio/2016,99.12,-0.02,-0.88,0.01,,,,,,,,,,
Julio/2016,100.04,0.93,0.48,0.94,,,,,,,,,,
Agosto/2016,100.08,0.03,0.60,0.97,,,,,,,,,,
Septiembre/2016,99.60,-0.47,0.39,0.49,,,,,,,,,,
Octubre/2016,99.49,-0.12,0.55,0.37,,,,,,,,,,
Noviembre/2016,99.49,0.00,0.56,0.37,,,,,,,,,,
Diciembre/2016,99.87,0.39,0.77,0.77,,,,,,,,,,
Enero/2017,100.44,0.57,0.66,0.57,,,,,,,,,,
Febrero/2017,100.85,0.40,1.09,0.97,,,,,,,,,,
Marzo/2017,100.42,-0.42,1.58,0.55,,,,,,,,,,
Abril/2017,100.58,0.15,1.64,0.70,,,,,,,,,,
Mayo/2017,100.80,0.22,1.67,0.92,,,,,,,,,,
Junio/2017,100.88,0.08,1.77,1.01,,,,,,,,,,
Julio/2017,101.21,0.32,1.16,1.33,,,,,,,,,,
Agosto/2017,100.99,-0.22,0.91,1.11,,,,,,,,,,
Septiembre/2017,101.24,0.25,1.64,1.37,,,,,,,,,,
Octubre/2017,101.80,0.56,2.33,1.93,,,,,,,,,,
Noviembre/2017,101.97,0.16,2.49,2.09,,,,,,,,,,
Diciembre/2017,102.45,0.47,2.57,2.57,,,,,,,,,,
Enero/2018,102.86,0.41,2.41,0.41,,,,,,,,,,
Febrero/2018,103.08,0.21,2.21,0.62,,,,,,,,,,
Marzo/2018,103.05,-0.03,2.61,0.59,,,,,,,,,,
Abril/2018,102.97,-0.08,2.38,0.51,,,,,,,,,,
Mayo/2018,102.85,-0.11,2.04,0.40,,,,,,,,,,
Junio/2018,103.03,0.18,2.13,0.57,,,,,,,,,,
Julio/2018,103.32,0.28,2.08,0.85,,,,,,,,,,
Agosto/2018,103.25,-0.07,2.24,0.78,,,,,,,,,,
Septiembre/2018,103.48,0.22,2.21,1.01,,,,,,,,,,
Octubre/2018,103.86,0.37,2.03,1.38,,,,,,,,,,
Noviembre/2018,104.30,0.42,2.29,1.81,,,,,,,,,,
Diciembre/2018,104.52,0.21,2.03,2.03,,,,,,,,,,
Enero/2019,104.58,0.05,1.67,0.05,,,,,,,,,,
