Tasa de política monetaria,,,,,,,,,,,
Para operaciones en moneda nacional del Banco Central de Costa Rica (BCCR),,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1 Ene,9.00,6.50,5.00,5.00,3.75,5.25,2.25,1.75,4.75,5.25,2.75
2 Ene,9.00,6.50,5.00,5.00,3.75,5.25,2.25,1.75,4.75,5.25,2.75
3 Ene,9.00,6.50,5.00,5.00,3.75,5.25,2.25,1.75,4.75,5.25,2.75
4 Ene,9.00,6.50,5.00,5.00,3.75,5.25,1.75,1.75,4.75,5.25,2.75
5 Ene,9.00,6.50,5.00,5.00,3.75,5.25,1.75,1.75,4.75,5.25,2.75
6 Ene,9.00,6.50,5.00,5.00,3.75,5.25,1.75,1.75,4.75,5.25,2.75
7 Ene,9.00,6.50,5.00,5.00,3.75,5.25,1.75,1.75,4.75,5.25,2.75
8 Ene,9.00,6.50,5.00,5.00,3.75,5.25,1.75,1.75,4.75,5.25,2.75
9 Ene,9.00,6.50,5.00,5.00,3.75,5.25,1.75,1.75,4.75,5.25,2.75
10 Ene,9.00,6.50,5.00,5.00,3.75,5.25,1.75,1.75,4.75,5.25,2.75
11 Ene,9.00,6.50,5.00,5.00,3.75,5.25,1.75,1.75,4.75,5.25,2.75
12 Ene,9.00,6.50,5.00,5.00,3.75,5.25,1.75,1.75,4.75,5.25,2.75
13 Ene,9.00,6.50,5.00,5.00,3.75,5.25,1.75,1.75,4.75,5.25,2.75
14 Ene,9.00,6.50,5.00,5.00,3.75,5.25,1.75,1.75,4.75,5.25,2.75
15 Ene,9.00,6.50,5.00,5.00,3.75,5.25,1.75,1.75,4.75,5.25,2.75
16 Ene,9.00,6.50,5.00,5.00,3.75,5.25,1.75,1.75,4.75,5.25,2.75
17 Ene,9.00,6.50,5.00,5.00,3.75,5.25,1.75,1.75,4.75,5.25,2.75
18 Ene,9.00,6.50,5.00,5.00,3.75,5.25,1.75,1.75,4.75,5.25,2.75
19 Ene,9.00,6.50,5.00,5.00,3.75,5.25,1.75,1.75,4.75,5.25,2.75
20 Ene,9.00,6.50,5.00,5.00,3.75,5.25,1.75,1.75,4.75,5.25,2.75
21 Ene,9.00,6.50,5.00,5.00,3.75,5.25,1.75,1.75,4.75,5.25,2.75
22 Ene,9.00,6.50,5.00,5.00,3.75,5.25,1.75,1.75,4.75,5.25,2.75
23 Ene,9.00,6.50,5.00,5.00,3.75,5.25,1.75,1.75,4.75,5.25,2.75
24 Ene,9.00,6.50,5.00,5.00,3.75,5.25,1.75,1.75,4.75,5.25,2.75
